"sessionID" "gameID" "farmX" "farmY" "numRounds" "baseYield" "maxYield" "heavySprayBlockNeighborhood" "nchYield" "nchBoost" "nchNeighborhood" "lightSprayBoost" "lightSprayCost" "heavySprayBoost" "heavySprayCost" "showMoves"
1 0 3 3 3 5 15 1 0 2 2 2 1 7 2 0
1 4 3 3 8 5 15 1 10 2 2 2 1 7 2 1
1 1 3 3 8 5 15 1 0 2 2 2 1 7 2 0
1 3 3 3 8 5 15 1 9 2 2 2 1 7 2 0
1 2 3 3 8 5 15 1 0 2 2 2 1 7 2 1
2 0 3 3 3 5 15 1 0 2 2 2 1 7 2 0
2 3 3 3 8 5 15 1 3 2 2 2 1 7 2 0
2 1 3 3 8 5 15 1 0 2 2 2 1 7 2 0
2 2 3 3 8 5 15 1 0 2 2 2 1 7 2 1
2 4 3 3 8 5 15 1 6 2 2 2 1 7 2 1
3 0 3 3 3 5 15 1 0 2 2 2 1 7 2 0
3 2 3 3 8 5 15 1 0 2 2 2 1 7 2 1
3 3 3 3 8 5 15 1 10 2 2 2 1 7 2 0
3 1 3 3 8 5 15 1 0 2 2 2 1 7 2 0
3 4 3 3 8 5 15 1 5 2 2 2 1 7 2 1
4 0 3 3 3 5 15 1 0 2 2 2 1 7 2 0
4 2 3 3 8 5 15 1 0 2 2 2 1 7 2 1
4 1 3 3 8 5 15 1 0 2 2 2 1 7 2 0
4 3 3 3 8 5 15 1 8 2 2 2 1 7 2 0
4 4 3 3 8 5 15 1 10 2 2 2 1 7 2 1
5 0 3 3 3 5 15 1 0 2 2 2 1 7 2 0
5 4 3 3 8 5 15 1 8 2 2 2 1 7 2 1
5 2 3 3 8 5 15 1 0 2 2 2 1 7 2 1
5 3 3 3 8 5 15 1 7 2 2 2 1 7 2 0
5 1 3 3 8 5 15 1 0 2 2 2 1 7 2 0
6 0 3 3 3 5 15 1 0 2 2 2 1 7 2 0
6 2 3 3 8 5 15 1 0 2 2 2 1 7 2 1
6 3 3 3 8 5 15 1 8 2 2 2 1 7 2 0
6 1 3 3 8 5 15 1 0 2 2 2 1 7 2 0
6 4 3 3 8 5 15 1 1 2 2 2 1 7 2 1
7 0 3 3 3 5 15 1 0 2 2 2 1 7 2 0
7 2 3 3 8 5 15 1 0 2 2 2 1 7 2 1
7 4 3 3 8 5 15 1 4 2 2 2 1 7 2 1
7 3 3 3 8 5 15 1 7 2 2 2 1 7 2 0
7 1 3 3 8 5 15 1 0 2 2 2 1 7 2 0
8 0 3 3 3 5 15 1 0 2 2 2 1 7 2 0
8 1 3 3 8 5 15 1 0 2 2 2 1 7 2 0
8 3 3 3 8 5 15 1 8 2 2 2 1 7 2 0
8 2 3 3 8 5 15 1 0 2 2 2 1 7 2 1
8 4 3 3 8 5 15 1 8 2 2 2 1 7 2 1
9 0 3 3 3 5 15 1 0 2 2 2 1 7 2 0
9 4 3 3 8 5 15 1 8 2 2 2 1 7 2 1
9 1 3 3 8 5 15 1 0 2 2 2 1 7 2 0
9 3 3 3 8 5 15 1 8 2 2 2 1 7 2 0
9 2 3 3 8 5 15 1 0 2 2 2 1 7 2 1
10 0 3 3 3 5 15 1 0 2 2 2 1 7 2 0
10 4 3 3 8 5 15 1 5 2 2 2 1 7 2 1
10 2 3 3 8 5 15 1 0 2 2 2 1 7 2 1
10 3 3 3 8 5 15 1 2 2 2 2 1 7 2 0
10 1 3 3 8 5 15 1 0 2 2 2 1 7 2 0
11 0 3 3 3 5 15 1 0 2 2 2 1 7 2 0
11 1 3 3 8 5 15 1 0 2 2 2 1 7 2 0
11 2 3 3 8 5 15 1 0 2 2 2 1 7 2 1
11 3 3 3 8 5 15 1 8 2 2 2 1 7 2 0
11 4 3 3 8 5 15 1 3 2 2 2 1 7 2 1
12 0 3 3 3 5 15 1 0 2 2 2 1 7 2 0
12 1 3 3 8 5 15 1 0 2 2 2 1 7 2 0
12 4 3 3 8 5 15 1 2 2 2 2 1 7 2 1
12 2 3 3 8 5 15 1 0 2 2 2 1 7 2 1
12 3 3 3 8 5 15 1 6 2 2 2 1 7 2 0
13 0 3 3 3 5 15 1 0 2 2 2 1 7 2 0
13 3 3 3 8 5 15 1 9 2 2 2 1 7 2 0
13 4 3 3 8 5 15 1 3 2 2 2 1 7 2 1
13 2 3 3 8 5 15 1 0 2 2 2 1 7 2 1
13 1 3 3 8 5 15 1 0 2 2 2 1 7 2 0
14 0 3 3 3 5 15 1 0 2 2 2 1 7 2 0
14 1 3 3 8 5 15 1 0 2 2 2 1 7 2 0
14 4 3 3 8 5 15 1 5 2 2 2 1 7 2 1
14 3 3 3 8 5 15 1 7 2 2 2 1 7 2 0
14 2 3 3 8 5 15 1 0 2 2 2 1 7 2 1
15 0 3 3 3 5 15 1 0 2 2 2 1 7 2 0
15 3 3 3 8 5 15 1 10 2 2 2 1 7 2 0
15 4 3 3 8 5 15 1 3 2 2 2 1 7 2 1
15 2 3 3 8 5 15 1 0 2 2 2 1 7 2 1
15 1 3 3 8 5 15 1 0 2 2 2 1 7 2 0
16 0 3 3 3 5 15 1 0 2 2 2 1 7 2 0
16 4 3 3 8 5 15 1 1 2 2 2 1 7 2 1
16 1 3 3 8 5 15 1 0 2 2 2 1 7 2 0
16 2 3 3 8 5 15 1 0 2 2 2 1 7 2 1
16 3 3 3 8 5 15 1 1 2 2 2 1 7 2 0
17 0 3 3 3 5 15 1 0 2 2 2 1 7 2 0
17 1 3 3 8 5 15 1 0 2 2 2 1 7 2 0
17 3 3 3 8 5 15 1 6 2 2 2 1 7 2 0
17 2 3 3 8 5 15 1 0 2 2 2 1 7 2 1
17 4 3 3 8 5 15 1 5 2 2 2 1 7 2 1
18 0 3 3 3 5 15 1 0 2 2 2 1 7 2 0
18 1 3 3 8 5 15 1 0 2 2 2 1 7 2 0
18 3 3 3 8 5 15 1 4 2 2 2 1 7 2 0
18 2 3 3 8 5 15 1 0 2 2 2 1 7 2 1
18 4 3 3 8 5 15 1 6 2 2 2 1 7 2 1
19 0 3 3 3 5 15 1 0 2 2 2 1 7 2 0
19 2 3 3 8 5 15 1 0 2 2 2 1 7 2 1
19 3 3 3 8 5 15 1 7 2 2 2 1 7 2 0
19 1 3 3 8 5 15 1 0 2 2 2 1 7 2 0
19 4 3 3 8 5 15 1 8 2 2 2 1 7 2 1
20 0 3 3 3 5 15 1 0 2 2 2 1 7 2 0
20 3 3 3 8 5 15 1 2 2 2 2 1 7 2 0
20 4 3 3 8 5 15 1 9 2 2 2 1 7 2 1
20 1 3 3 8 5 15 1 0 2 2 2 1 7 2 0
20 2 3 3 8 5 15 1 0 2 2 2 1 7 2 1
21 0 3 3 3 5 15 1 0 2 2 2 1 7 2 0
21 1 3 3 8 5 15 1 0 2 2 2 1 7 2 0
21 2 3 3 8 5 15 1 0 2 2 2 1 7 2 1
21 3 3 3 8 5 15 1 2 2 2 2 1 7 2 0
21 4 3 3 8 5 15 1 10 2 2 2 1 7 2 1
22 0 3 3 3 5 15 1 0 2 2 2 1 7 2 0
22 1 3 3 8 5 15 1 0 2 2 2 1 7 2 0
22 3 3 3 8 5 15 1 1 2 2 2 1 7 2 0
22 2 3 3 8 5 15 1 0 2 2 2 1 7 2 1
22 4 3 3 8 5 15 1 4 2 2 2 1 7 2 1
23 0 3 3 3 5 15 1 0 2 2 2 1 7 2 0
23 2 3 3 8 5 15 1 0 2 2 2 1 7 2 1
23 1 3 3 8 5 15 1 0 2 2 2 1 7 2 0
23 4 3 3 8 5 15 1 3 2 2 2 1 7 2 1
23 3 3 3 8 5 15 1 2 2 2 2 1 7 2 0
24 0 3 3 3 5 15 1 0 2 2 2 1 7 2 0
24 3 3 3 8 5 15 1 6 2 2 2 1 7 2 0
24 4 3 3 8 5 15 1 2 2 2 2 1 7 2 1
24 2 3 3 8 5 15 1 0 2 2 2 1 7 2 1
24 1 3 3 8 5 15 1 0 2 2 2 1 7 2 0
25 0 3 3 3 5 15 1 0 2 2 2 1 7 2 0
